=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.07.22 20:20:56 =~=~=~=~=~=~=~=~=~=~=~=
OLA
Saving data, wait a bit
Pos velocidade pos_c velo_c ang
40.940 0.0285714 40.940 0.0285714   87.7
40.510 0.0000000 40.510 0.0000000   88.1
39.930 0.0142857 39.930 0.0142857   88.7
38.318 0.0142857 38.318 0.0142857   88.0
37.014 0.0142857 37.014 0.0142857   87.7
35.093 0.0285714 35.093 0.0285714   90.3
33.304 0.0285714 33.304 0.0285714   88.4
32.359 0.0142857 32.359 0.0142857   88.7
30.881 0.0285714 30.881 0.0285714   91.0
29.441 0.0142857 29.441 0.0142857   89.0
28.020 0.0142857 28.020 0.0142857   89.6
27.306 0.0142857 27.306 0.0142857   90.5
25.752 0.0285714 25.752 0.0285714   90.0
24.200 0.0142857 24.200 0.0142857   90.4
23.248 0.0142857 23.248 0.0142857   91.8
22.776 0.0142857 22.776 0.0142857   91.1
20.332 0.0285714 20.332 0.0285714   91.1
20.561 0.0000000 20.561 0.0000000   90.0
22.239 -0.0285714 22.239 -0.0285714   91.8
19.793 0.0428571 19.793 0.0428571   91.2
20.921 -0.0142857 20.921 -0.0142857   90.4
16.162 0.0571429 16.162 0.0571429   91.7
16.936 0.0000000 16.936 0.0000000   91.6
14.494 0.0285714 14.494 0.0285714   91.8
15.266 -0.0142857 15.266 -0.0142857   92.4
16.163 -0.0142857 16.163 -0.0142857   92.2
15.448 0.0142857 15.448 0.0142857   91.8
15.802 0.0000000 15.802 0.0000000   92.0
16.220 -0.0142857 16.220 -0.0142857   92.0
19.260 -0.0428571 19.260 -0.0428571   92.0
19.443 0.0000000 19.443 0.0000000   91.6
20.153 -0.0142857 20.153 -0.0142857   88.7
20.031 0.0000000 20.031 0.0000000   91.0
22.061 -0.0285714 22.061 -0.0285714   91.5
22.119 0.0000000 22.119 0.0000000   91.1
23.071 -0.0142857 23.071 -0.0142857   91.2
23.250 0.0000000 23.250 0.0000000   91.6
25.165 -0.0285714 25.165 -0.0285714   91.5
25.461 0.0000000 25.461 0.0000000   90.9
25.874 0.0000000 25.874 0.0000000   89.6
25.814 0.0000000 25.814 0.0000000   91.4
28.134 -0.0428571 28.134 -0.0428571   90.1
28.313 0.0000000 28.313 0.0000000   90.8
29.688 -0.0142857 29.688 -0.0142857   89.7
31.000 -0.0285714 31.000 -0.0285714   90.9
31.706 0.0000000 31.706 0.0000000   90.0
31.529 0.0000000 31.529 0.0000000   89.8
32.063 -0.0142857 32.063 -0.0142857   89.6
33.914 -0.0142857 33.914 -0.0142857   90.0
33.671 0.0000000 33.671 0.0000000   90.2
34.681 -0.0142857 34.681 -0.0142857   89.5
34.511 0.0000000 34.511 0.0000000   89.3
35.510 -0.0142857 35.510 -0.0142857   89.0
36.413 -0.0142857 36.413 -0.0142857   89.9
37.297 -0.0142857 37.297 -0.0142857   89.5
36.769 0.0142857 36.769 0.0142857   89.1
37.124 -0.0142857 37.124 -0.0142857   89.4
37.668 0.0000000 37.668 0.0000000   89.2
37.719 0.0000000 37.719 0.0000000   88.9
37.661 0.0000000 37.661 0.0000000   89.1
37.178 0.0000000 37.178 0.0000000   89.2
37.429 0.0000000 37.429 0.0000000   89.5
37.244 0.0000000 37.244 0.0000000   89.0
36.592 0.0142857 36.592 0.0142857   89.2
35.878 0.0142857 35.878 0.0142857   89.0
36.404 -0.0142857 36.404 -0.0142857   89.2
36.528 0.0000000 36.528 0.0000000   89.3
35.697 0.0142857 35.697 0.0142857   88.9
35.695 0.0000000 35.695 0.0000000   89.2
35.221 0.0000000 35.221 0.0000000   89.5
34.267 0.0142857 34.267 0.0142857   88.9
33.850 0.0142857 33.850 0.0142857   89.2
33.496 0.0000000 33.496 0.0000000   89.0
33.184 0.0000000 33.184 0.0000000   91.5
32.009 0.0142857 32.009 0.0142857   88.8
32.608 0.0000000 32.608 0.0000000   90.4
31.941 0.0142857 31.941 0.0142857   89.7
31.169 0.0000000 31.169 0.0000000   89.7
31.240 0.0000000 31.240 0.0000000   89.8
30.811 0.0142857 30.811 0.0142857   90.3
30.336 0.0000000 30.336 0.0000000   89.9
30.272 0.0000000 30.272 0.0000000   89.8
29.277 0.0142857 29.277 0.0142857   90.0
28.733 0.0142857 28.733 0.0142857   89.5
28.014 0.0000000 28.014 0.0000000   90.1
27.774 0.0142857 27.774 0.0142857   90.3
26.583 0.0142857 26.583 0.0142857   89.7
26.228 0.0000000 26.228 0.0000000   91.4
24.982 0.0285714 24.982 0.0285714   90.6
25.688 -0.0142857 25.688 -0.0142857   90.9
24.624 0.0142857 24.624 0.0142857   90.9
24.619 0.0000000 24.619 0.0000000   91.1
25.100 -0.0142857 25.100 -0.0142857   90.7
23.607 0.0285714 23.607 0.0285714   91.1
24.267 -0.0142857 24.267 -0.0142857   90.8
24.202 0.0000000 24.202 0.0000000   91.9
24.681 0.0000000 24.681 0.0000000   90.4
24.387 0.0000000 24.387 0.0000000   90.8
23.255 0.0142857 23.255 0.0142857   90.5
25.218 -0.0285714 25.218 -0.0285714   90.7
24.628 0.0142857 24.628 0.0142857   90.6
24.144 0.0000000 24.144 0.0000000   90.5
24.083 0.0000000 24.083 0.0000000   91.2
25.341 -0.0142857 25.341 -0.0142857   91.0
25.695 0.0000000 25.695 0.0000000   90.6
26.532 -0.0142857 26.532 -0.0142857   90.5
26.106 0.0000000 26.106 0.0000000   90.8
26.530 0.0000000 26.530 0.0000000   90.4
27.006 -0.0142857 27.006 -0.0142857   91.2
27.842 0.0000000 27.842 0.0000000   90.5
27.717 0.0000000 27.717 0.0000000   90.7
26.648 0.0142857 26.648 0.0142857   90.3
28.077 -0.0285714 28.077 -0.0285714   90.4
27.659 0.0142857 27.659 0.0142857   89.6
28.079 -0.0142857 28.079 -0.0142857   89.5
26.652 0.0285714 26.652 0.0285714   90.8
27.188 -0.0142857 27.188 -0.0142857   89.7
27.361 0.0000000 27.361 0.0000000   90.4
26.531 0.0142857 26.531 0.0142857   90.9
25.813 0.0142857 25.813 0.0142857   90.6
26.405 -0.0142857 26.405 -0.0142857   90.9
25.817 0.0142857 25.817 0.0142857   90.9
26.530 -0.0142857 26.530 -0.0142857   90.4
26.407 0.0000000 26.407 0.0000000   90.6
26.407 0.0000000 26.407 0.0000000   90.7
26.532 0.0000000 26.532 0.0000000   90.8
25.755 0.0142857 25.755 0.0142857   90.7
25.820 0.0000000 25.820 0.0000000   90.7
26.346 -0.0142857 26.346 -0.0142857   90.8
26.887 0.0000000 26.887 0.0000000   90.2
26.529 0.0000000 26.529 0.0000000   90.4
26.172 0.0000000 26.172 0.0000000   90.7
26.235 0.0000000 26.235 0.0000000   90.5
26.296 0.0000000 26.296 0.0000000   90.9
26.830 0.0000000 26.830 0.0000000   90.5
27.366 -0.0142857 27.366 -0.0142857   90.6
26.939 0.0142857 26.939 0.0142857   91.0
27.364 -0.0142857 27.364 -0.0142857   90.8
27.305 0.0000000 27.305 0.0000000   91.0
27.241 0.0000000 27.241 0.0000000   90.9
26.772 0.0142857 26.772 0.0142857   90.3
25.930 0.0142857 25.930 0.0142857   90.3
25.456 0.0000000 25.456 0.0000000   90.2
25.694 0.0000000 25.694 0.0000000   91.0
29.093 -0.0571429 29.093 -0.0571429   90.6
29.748 0.0000000 29.748 0.0000000   90.0
27.182 0.0285714 27.182 0.0285714   88.5
27.599 0.0000000 27.599 0.0000000   90.4
34.928 -0.1000000 34.928 -0.1000000   91.5
36.412 -0.0285714 36.412 -0.0285714   88.8
39.338 -0.0428571 39.338 -0.0428571   87.6
40.224 -0.0142857 40.224 -0.0142857   90.9
41.306 -0.0142857 41.306 -0.0142857   87.4
42.781 -0.0142857 42.781 -0.0142857   89.3
44.043 -0.0285714 44.043 -0.0285714   88.2
43.805 0.0142857 43.805 0.0142857   88.0
44.573 -0.0142857 44.573 -0.0142857   88.5
43.803 0.0142857 43.803 0.0142857   88.4
44.873 -0.0142857 44.873 -0.0142857   88.2
44.089 0.0000000 44.089 0.0000000   88.2
42.605 0.0285714 42.605 0.0285714   88.0
42.678 0.0000000 42.678 0.0000000   87.9
40.470 0.0285714 40.470 0.0285714   88.3
40.293 0.0000000 40.293 0.0000000   87.7
38.624 0.0285714 38.624 0.0285714   89.9
37.264 0.0142857 37.264 0.0142857   88.4
35.044 0.0285714 35.044 0.0285714   89.3
33.677 0.0285714 33.677 0.0285714   88.6
33.555 0.0000000 33.555 0.0000000   90.3
31.303 0.0285714 31.303 0.0285714   88.9
29.932 0.0285714 29.932 0.0285714   90.1
27.542 0.0285714 27.542 0.0285714   89.7
27.305 0.0000000 27.305 0.0000000   91.1
25.334 0.0285714 25.334 0.0285714   90.4
25.625 0.0000000 25.625 0.0000000   90.5
24.684 0.0142857 24.684 0.0142857   90.6
22.528 0.0285714 22.528 0.0285714   90.3
23.124 -0.0142857 23.124 -0.0142857   90.8
20.747 0.0428571 20.747 0.0428571   91.9
20.694 0.0000000 20.694 0.0000000   90.6
20.393 0.0000000 20.393 0.0000000   91.0
19.742 0.0142857 19.742 0.0142857   91.4
18.308 0.0142857 18.308 0.0142857   91.1
16.583 0.0285714 16.583 0.0285714   91.1
15.329 0.0142857 15.329 0.0142857   91.4
15.863 0.0000000 15.863 0.0000000   92.2
16.226 -0.0142857 16.226 -0.0142857   92.5
15.452 0.0142857 15.452 0.0142857   91.8
16.162 -0.0142857 16.162 -0.0142857   91.7
16.520 0.0000000 16.520 0.0000000   91.7
19.918 -0.0428571 19.918 -0.0428571   91.7
19.142 0.0000000 19.142 0.0000000   91.9
20.211 -0.0142857 20.211 -0.0142857   89.5
19.560 0.0142857 19.560 0.0142857   91.3
21.881 -0.0285714 21.881 -0.0285714   91.3
21.412 0.0000000 21.412 0.0000000   90.8
22.353 -0.0142857 22.353 -0.0142857   91.3
22.417 0.0000000 22.417 0.0000000   91.9
23.850 -0.0142857 23.850 -0.0142857   91.4
24.563 -0.0142857 24.563 -0.0142857   91.4
24.920 0.0000000 24.920 0.0000000   90.3
26.177 -0.0285714 26.177 -0.0285714   90.7
26.941 0.0000000 26.941 0.0000000   90.1
28.137 -0.0285714 28.137 -0.0285714   90.4
29.214 -0.0142857 29.214 -0.0142857   90.6
30.225 -0.0142857 30.225 -0.0142857   89.9
30.699 0.0000000 30.699 0.0000000   90.6
31.949 -0.0142857 31.949 -0.0142857   90.4
33.556 -0.0285714 33.556 -0.0285714   90.5
33.851 0.0000000 33.851 0.0000000   89.3
34.681 -0.0142857 34.681 -0.0142857   89.9
34.620 0.0000000 34.620 0.0000000   89.2
35.397 -0.0142857 35.397 -0.0142857   89.6
37.303 -0.0285714 37.303 -0.0285714   89.2
37.064 0.0000000 37.064 0.0000000   88.8
37.126 0.0000000 37.126 0.0000000   88.9
37.898 0.0000000 37.898 0.0000000   88.9
39.032 -0.0285714 39.032 -0.0285714   89.2
38.734 0.0142857 38.734 0.0142857   89.2
38.322 0.0000000 38.322 0.0000000   88.8
39.103 -0.0142857 39.103 -0.0142857   88.8
38.020 0.0142857 38.020 0.0142857   89.1
38.196 0.0000000 38.196 0.0000000   88.5
37.835 0.0142857 37.835 0.0142857   88.6
37.416 0.0000000 37.416 0.0000000   88.4
36.936 0.0142857 36.936 0.0142857   88.8
35.933 0.0142857 35.933 0.0142857   88.7
35.751 0.0000000 35.751 0.0000000   88.3
33.739 0.0285714 33.739 0.0285714   89.9
